file,variable,description,type
mortality_comparison.csv,group,Population group (settler or slave),string
primary_labels_1700_1720.csv,id,Journal entry identifier,integer
primary_labels_1700_1720.csv,date,Entry date,string
primary_labels_1700_1720.csv,year,Calendar year,integer
primary_labels_1700_1720.csv,has_text,1 if entry has body text,integer
primary_labels_1700_1720.csv,V1,Machine label: concerns human sickness/death (0/1),integer
primary_labels_1700_1720.csv,V3,Machine label: names smallpox (0/1),integer
primary_labels_1700_1720.csv,V4,Machine label: epidemic treatment/medicine import (0/1),integer
primary_labels_1700_1720.csv,who,Group the sickness/death entry concerns,string
primary_year_rates.csv,year,Calendar year,integer
primary_year_rates.csv,n,Number of entries,integer
primary_year_rates.csv,V1_disease,Disease entries (count),integer
primary_year_rates.csv,V3_smallpox,Smallpox entries (count),integer
primary_year_rates.csv,V4_medicine,Medicine entries (count),integer
primary_year_rates.csv,V1_rate,Disease rate,numeric
primary_year_rates.csv,V3_rate,Smallpox rate,numeric
probate_by_year.csv,yr,Calendar year,integer
probate_by_year.csv,n_inv,Number of probate inventories,integer
raw_stocks_by_year.csv,year,Calendar year,integer
raw_stocks_by_year.csv,n_household_rows,Enumerated household rows,integer
raw_stocks_by_year.csv,slave_men,Enslaved adult men,integer
raw_stocks_by_year.csv,slave_women,Enslaved adult women,integer
raw_stocks_by_year.csv,slave_children,Enslaved children,integer
raw_stocks_by_year.csv,slaves_total,Enslaved total,integer
raw_stocks_by_year.csv,settler_men,Settler adult men,integer
raw_stocks_by_year.csv,settler_women,Settler adult women,integer
raw_stocks_by_year.csv,settler_children,Settler children,integer
raw_stocks_by_year.csv,settlers_total,Settler total,integer
slave_crosssection_by_district_year.csv,district,District: Cape or StelDrak (Stellenbosch-Drakenstein),string
slave_crosssection_by_district_year.csv,year,Calendar year,integer
slave_crosssection_by_district_year.csv,n_households,Enumerated household rows,integer
slave_crosssection_by_district_year.csv,slave_men,Enslaved adult men,integer
slave_crosssection_by_district_year.csv,slave_women,Enslaved adult women,integer
slave_crosssection_by_district_year.csv,slave_boys,Enslaved boys,integer
slave_crosssection_by_district_year.csv,slave_girls,Enslaved girls,integer
slave_crosssection_by_district_year.csv,slave_total,Enslaved total,integer
slave_crosssection_by_district_year.csv,knechts,Contracted servants (knechts),integer
slave_crosssection_by_district_year.csv,settler_total,Settler total,integer
slave_crosssection_by_district_year.csv,settler_men,Settler adult men,integer
slave_crosssection_by_district_year.csv,settler_women,Settler adult women,integer
slave_crosssection_by_district_year.csv,settler_sons,Settler sons,integer
slave_crosssection_by_district_year.csv,settler_daught,Settler daughters,integer
