id,gV1,gV3,gV4,gWho
vc-1718-147,0,0,0,
vc-1719-221,0,0,0,
vc-1719-272,0,0,0,
vc-1708-194,0,0,0,
vc-1702-30,0,0,0,
vc-1711-91,1,0,0,soldiers_sailors
vc-1710-3,0,0,0,
vc-1710-257,0,0,0,
vc-1702-17,0,0,0,
vc-1706-170,1,0,0,soldiers_sailors
vc-1712-327,0,0,0,
vc-1700-116,0,0,0,
vc-1708-233,1,0,0,soldiers_sailors
vc-1708-26,1,0,0,soldiers_sailors
vc-1700-258,0,0,0,
vc-1703-228,0,0,0,
vc-1701-313,0,0,0,
vc-1720-104,1,0,0,soldiers_sailors
vc-1702-165,0,0,0,
vc-1715-157,1,0,0,company_slaves
vc-1706-20,0,0,0,
vc-1712-250,0,0,0,
vc-1709-342,1,0,0,soldiers_sailors
vc-1717-174,0,0,0,
vc-1720-179,0,0,0,
vc-1700-305,0,0,0,
vc-1717-9,0,0,0,
vc-1701-207,0,0,0,
vc-1706-314,0,0,0,
vc-1702-358,0,0,0,
vc-1701-72,0,0,0,
vc-1707-47,0,0,0,
vc-1715-307,1,0,0,general
vc-1700-21,0,0,0,
vc-1702-224,0,0,0,
vc-1716-96,0,0,0,
vc-1708-344,0,0,0,
vc-1715-193,0,0,0,
vc-1709-250,1,0,0,soldiers_sailors
vc-1717-164,0,0,0,
vc-1717-201,0,0,0,
vc-1720-200,1,0,0,company_slaves
vc-1720-48,1,0,0,soldiers_sailors
vc-1718-327,0,0,0,
vc-1700-340,0,0,0,
vc-1708-44,1,0,0,soldiers_sailors
vc-1710-258,0,0,0,
vc-1710-149,0,0,0,
vc-1709-168,0,0,0,
vc-1719-321,0,0,0,
vc-1716-140,0,0,0,
vc-1711-316,0,0,0,
vc-1711-218,0,0,0,
vc-1713-289,1,0,0,soldiers_sailors
vc-1705-23,0,0,0,
vc-1709-295,0,0,0,
vc-1709-245,0,0,0,
vc-1705-136,0,0,0,
vc-1714-107,1,0,0,soldiers_sailors
vc-1702-248,0,0,0,
vc-1701-203,0,0,0,
vc-1704-277,1,0,0,general
vc-1708-70,0,0,0,
vc-1719-254,0,0,0,
vc-1712-222,0,0,0,
vc-1718-16,0,0,0,
vc-1708-321,0,0,0,
vc-1712-84,0,0,0,
vc-1703-107,0,0,0,
vc-1715-335,0,0,0,
vc-1705-268,0,0,0,
vc-1712-274,0,0,0,
vc-1703-307,0,0,0,
vc-1717-55,0,0,0,
vc-1711-102,0,0,0,
vc-1708-349,0,0,0,
vc-1705-43,0,0,0,
vc-1712-308,0,0,0,
vc-1716-143,0,0,0,
vc-1718-108,0,0,0,
vc-1710-194,0,0,0,
vc-1717-98,1,0,0,company_slaves
vc-1700-301,0,0,0,
vc-1709-352,1,0,0,soldiers_sailors
vc-1703-113,0,0,0,
vc-1714-337,0,0,0,
vc-1705-124,0,0,0,
vc-1715-218,0,0,0,
vc-1714-120,0,0,0,
vc-1712-285,0,0,0,
vc-1711-254,0,0,0,
vc-1714-230,0,0,0,
vc-1711-140,1,0,0,soldiers_sailors
vc-1717-181,0,0,0,
vc-1716-175,0,0,0,
vc-1702-156,0,0,0,
vc-1718-331,0,0,0,
vc-1712-329,0,0,0,
vc-1701-289,0,0,0,
vc-1700-347,0,0,0,
vc-1712-2,1,0,0,general
vc-1717-12,0,0,0,
vc-1720-264,0,0,0,
vc-1702-255,0,0,0,
vc-1715-43,0,0,0,
vc-1718-214,0,0,0,
vc-1718-176,0,0,0,
vc-1705-81,1,0,0,company_slaves
vc-1716-149,0,0,0,
vc-1716-281,0,0,0,
vc-1707-29,0,0,0,
vc-1710-318,0,0,0,
vc-1712-343,0,0,0,
vc-1712-80,0,0,0,
vc-1709-79,0,0,0,
vc-1715-290,0,0,0,
vc-1702-213,0,0,0,
vc-1702-206,0,0,0,
vc-1713-18,0,0,0,
vc-1704-216,0,0,0,
vc-1719-84,0,0,0,
vc-1713-319,0,0,0,
vc-1712-298,0,0,0,
vc-1720-56,0,0,0,
vc-1704-316,0,0,0,
vc-1710-268,0,0,0,
vc-1709-53,1,0,1,soldiers_sailors
vc-1719-33,0,0,0,
vc-1717-115,0,0,0,
vc-1705-110,1,0,0,company_slaves
vc-1710-174,0,0,0,
vc-1709-143,1,0,0,soldiers_sailors
vc-1707-160,0,0,0,
vc-1706-342,0,0,0,
vc-1715-181,0,0,0,
vc-1702-285,0,0,0,
vc-1704-145,0,0,0,
vc-1719-230,0,0,0,
vc-1707-91,1,0,0,company_slaves
vc-1709-335,0,0,0,
vc-1704-231,0,0,0,
vc-1716-110,0,0,0,
vc-1711-252,0,0,0,
vc-1709-224,0,0,0,
vc-1704-339,0,0,0,
vc-1707-166,0,0,0,
vc-1700-31,0,0,0,
vc-1704-97,0,0,0,
vc-1708-57,1,0,0,soldiers_sailors
vc-1700-139,0,0,0,
vc-1718-260,0,0,0,
vc-1719-25,0,0,0,
vc-1718-280,0,0,0,
vc-1714-234,1,0,0,soldiers_sailors
vc-1705-247,0,0,0,
vc-1720-3,0,0,0,
vc-1720-249,0,0,0,
vc-1702-88,0,0,0,
vc-1703-337,0,0,0,
vc-1707-181,1,0,0,soldiers_sailors
vc-1712-208,0,0,0,
vc-1707-39,0,0,0,
vc-1711-80,0,0,0,
vc-1702-177,0,0,0,
vc-1718-13,0,0,0,
vc-1714-347,0,0,0,
vc-1712-240,1,0,0,soldiers_sailors
vc-1717-365,0,0,0,
vc-1707-192,0,0,0,
vc-1718-363,0,0,0,
vc-1718-274,0,0,0,
vc-1719-324,0,0,0,
vc-1714-102,0,0,0,
vc-1717-302,0,0,0,
vc-1718-364,0,0,0,
vc-1720-80,1,0,0,soldiers_sailors
vc-1718-344,0,0,0,
vc-1706-10,1,0,0,company_slaves
vc-1703-274,0,0,0,
vc-1716-116,0,0,0,
vc-1710-276,0,0,0,
vc-1711-289,0,0,0,
vc-1711-110,0,0,0,
vc-1708-158,0,0,0,
vc-1709-316,0,0,0,
vc-1701-130,0,0,0,
vc-1718-146,1,0,0,soldiers_sailors
vc-1711-363,0,0,0,
vc-1719-108,0,0,0,
vc-1718-212,0,0,0,
vc-1714-199,1,0,0,soldiers_sailors
vc-1720-315,0,0,0,
vc-1714-207,0,0,0,
vc-1706-123,1,0,0,soldiers_sailors
vc-1707-42,0,0,0,
vc-1705-191,0,0,0,
vc-1720-131,0,0,0,
vc-1711-172,0,0,0,
vc-1718-213,0,0,0,
vc-1713-47,0,0,0,
vc-1711-321,0,0,0,
vc-1708-74,0,0,0,
vc-1713-97,1,0,0,soldiers_sailors
vc-1708-52,0,0,0,
vc-1705-344,0,0,0,
vc-1717-316,1,0,0,soldiers_sailors
vc-1719-124,0,0,0,
vc-1704-271,0,0,0,
vc-1718-138,0,0,0,
vc-1717-82,0,0,0,
vc-1718-24,0,0,0,
vc-1708-119,0,0,0,
vc-1700-41,0,0,0,
vc-1720-84,0,0,0,
vc-1712-140,0,0,0,
vc-1705-184,0,0,0,
vc-1708-177,0,0,0,
vc-1701-351,0,0,0,
vc-1720-10,0,0,0,
vc-1705-31,0,0,0,
vc-1711-275,0,0,0,
vc-1720-47,0,0,0,
vc-1717-182,0,0,0,
vc-1702-120,0,0,0,
vc-1720-57,0,0,0,
vc-1712-276,1,0,0,soldiers_sailors
vc-1716-74,1,0,0,soldiers_sailors
vc-1716-195,0,0,0,
vc-1714-114,0,0,0,
vc-1711-279,0,0,0,
vc-1716-301,0,0,0,
vc-1707-298,0,0,0,
vc-1710-145,0,0,0,
vc-1705-7,0,0,0,
vc-1709-91,0,0,0,
vc-1720-98,0,0,0,
vc-1710-126,1,0,0,soldiers_sailors
vc-1710-356,0,0,0,
vc-1720-129,0,0,0,
vc-1719-237,0,0,0,
vc-1718-36,0,0,0,
vc-1716-155,0,0,0,
vc-1710-347,0,0,0,
vc-1711-263,0,0,0,
vc-1704-48,0,0,0,
vc-1710-53,0,0,0,
vc-1705-264,0,0,0,
vc-1704-229,1,0,0,settlers
vc-1718-228,0,0,0,
vc-1712-236,0,0,0,
vc-1702-282,0,0,0,
vc-1713-90,1,1,0,company_slaves
vc-1708-335,0,0,0,
vc-1709-5,0,0,0,
vc-1713-2,0,0,0,
vc-1717-198,0,0,0,
vc-1711-76,0,0,0,
vc-1708-258,0,0,0,
vc-1708-362,0,0,0,
vc-1701-158,0,0,0,
vc-1703-252,0,0,0,
vc-1707-59,0,0,0,
vc-1720-236,0,0,0,
vc-1712-291,0,0,0,
vc-1708-260,0,0,0,
vc-1710-262,0,0,0,
vc-1713-196,0,0,0,
vc-1700-307,0,0,0,
vc-1707-16,0,0,0,
vc-1707-277,0,0,0,
vc-1709-283,1,0,0,soldiers_sailors
vc-1705-359,0,0,0,
vc-1705-141,0,0,0,
vc-1716-132,0,0,0,
vc-1714-280,0,0,0,
vc-1707-27,0,0,0,
vc-1701-193,0,0,0,
vc-1711-159,0,0,0,
vc-1704-5,0,0,0,
vc-1712-297,0,0,0,
vc-1710-351,0,0,0,
vc-1720-340,0,0,0,
vc-1709-264,1,0,0,company_slaves|soldiers_sailors
vc-1700-128,0,0,0,
vc-1701-268,0,0,0,
vc-1718-356,0,0,0,
vc-1714-14,0,0,0,
